group,function,value,sample_time_nanos,iteration_count
oddsketch insert single,,,808.0,253
oddsketch insert single,,,842.0,506
oddsketch insert single,,,901.0,759
oddsketch insert single,,,1067.0,1012
oddsketch insert single,,,1765.0,1265
oddsketch insert single,,,1484.0,1518
oddsketch insert single,,,1744.0,1771
oddsketch insert single,,,2031.0,2024
oddsketch insert single,,,1883.0,2277
oddsketch insert single,,,3174.0,2530
oddsketch insert single,,,2369.0,2783
oddsketch insert single,,,2543.0,3036
oddsketch insert single,,,2767.0,3289
oddsketch insert single,,,3008.0,3542
oddsketch insert single,,,3301.0,3795
oddsketch insert single,,,3498.0,4048
oddsketch insert single,,,4074.0,4301
oddsketch insert single,,,4333.0,4554
oddsketch insert single,,,4651.0,4807
oddsketch insert single,,,4945.0,5060
oddsketch insert single,,,5101.0,5313
oddsketch insert single,,,5291.0,5566
oddsketch insert single,,,5684.0,5819
oddsketch insert single,,,5777.0,6072
oddsketch insert single,,,6778.0,6325
oddsketch insert single,,,6664.0,6578
oddsketch insert single,,,6546.0,6831
oddsketch insert single,,,6924.0,7084
oddsketch insert single,,,7557.0,7337
oddsketch insert single,,,7787.0,7590
oddsketch insert single,,,8420.0,7843
oddsketch insert single,,,8744.0,8096
oddsketch insert single,,,8962.0,8349
oddsketch insert single,,,9974.0,8602
oddsketch insert single,,,10463.0,8855
oddsketch insert single,,,10374.0,9108
oddsketch insert single,,,10643.0,9361
oddsketch insert single,,,10883.0,9614
oddsketch insert single,,,10879.0,9867
oddsketch insert single,,,11465.0,10120
oddsketch insert single,,,12122.0,10373
oddsketch insert single,,,12889.0,10626
oddsketch insert single,,,12954.0,10879
oddsketch insert single,,,13615.0,11132
oddsketch insert single,,,14323.0,11385
oddsketch insert single,,,14735.0,11638
oddsketch insert single,,,15224.0,11891
oddsketch insert single,,,15930.0,12144
oddsketch insert single,,,16832.0,12397
oddsketch insert single,,,17061.0,12650
oddsketch insert single,,,17401.0,12903
oddsketch insert single,,,18196.0,13156
oddsketch insert single,,,18065.0,13409
oddsketch insert single,,,18675.0,13662
oddsketch insert single,,,19161.0,13915
oddsketch insert single,,,19395.0,14168
oddsketch insert single,,,20045.0,14421
oddsketch insert single,,,20044.0,14674
oddsketch insert single,,,20944.0,14927
oddsketch insert single,,,21359.0,15180
oddsketch insert single,,,21689.0,15433
oddsketch insert single,,,22008.0,15686
oddsketch insert single,,,22367.0,15939
oddsketch insert single,,,23148.0,16192
oddsketch insert single,,,23278.0,16445
oddsketch insert single,,,23828.0,16698
oddsketch insert single,,,24671.0,16951
oddsketch insert single,,,24795.0,17204
oddsketch insert single,,,25138.0,17457
oddsketch insert single,,,25311.0,17710
oddsketch insert single,,,26004.0,17963
oddsketch insert single,,,26400.0,18216
oddsketch insert single,,,26803.0,18469
oddsketch insert single,,,27261.0,18722
oddsketch insert single,,,27966.0,18975
oddsketch insert single,,,27930.0,19228
oddsketch insert single,,,28718.0,19481
oddsketch insert single,,,28636.0,19734
oddsketch insert single,,,29682.0,19987
oddsketch insert single,,,30260.0,20240
oddsketch insert single,,,30122.0,20493
oddsketch insert single,,,30919.0,20746
oddsketch insert single,,,31476.0,20999
oddsketch insert single,,,32018.0,21252
oddsketch insert single,,,32669.0,21505
oddsketch insert single,,,33141.0,21758
oddsketch insert single,,,33181.0,22011
oddsketch insert single,,,33877.0,22264
oddsketch insert single,,,34395.0,22517
oddsketch insert single,,,34902.0,22770
oddsketch insert single,,,34924.0,23023
oddsketch insert single,,,35317.0,23276
oddsketch insert single,,,36899.0,23529
oddsketch insert single,,,36463.0,23782
oddsketch insert single,,,36414.0,24035
oddsketch insert single,,,36672.0,24288
oddsketch insert single,,,37404.0,24541
oddsketch insert single,,,37951.0,24794
oddsketch insert single,,,39231.0,25047
oddsketch insert single,,,38971.0,25300
